Cebola,"R$2,90",  x KG,"Antes R$3,22"
Limão Taiti,"R$2,69",  x KG,"Antes R$2,99"
Laranja Pera,"R$1,51",  x KG,"Antes R$1,68"
Alface Crespa,"R$1,48",  x UNID,"Antes R$1,65"
Alho Descascado Pacote 1 kg,"R$12,53",  x UNID,"Antes R$13,92"
Ovos Brancos Grande,"R$22,86",  x UNID,"Antes R$25,40"
Banana Nanica,"R$2,86",  x KG,"Antes R$3,18"
Maracujá,"R$3,99",  x KG
Pimentão Verde,"R$3,14",  x KG,"Antes R$3,49"
Cenoura,"R$3,00",  x KG,"Antes R$3,33"
Batata Lavada Padrão,"R$2,05",  x KG,"Antes R$2,28"
Alface Americana,"R$2,19",  x UNID,"Antes R$2,43"
Melancia Grauda,"R$13,50",  x UNID,"Antes R$15,00"
Couve Manteiga,"R$1,84",  x UNID,"Antes R$2,05"
Abacaxi Pérola,"R$4,90",  x UNID,"Antes R$5,45"
Macarrão com Ovos Parafuso Dona Benta 500g,"R$1,97",  x UNID,"Antes R$2,19"
Macarrão com Ovos Penne Dona Benta 500g,"R$1,97",  x UNID,"Antes R$2,19"
Arroz Camil 5Kg,"R$21,38",  x UNID
Arroz Solito 5Kg,"R$20,14",  x UNID
Óleo Soya 900ml,"R$6,55",  x UNID,"Antes R$6,89"
Creme de Leite Italac 200gr.,"R$2,69",  x UNID
Leite Condensado Italac 395g,"R$4,49",  x UNID
Tomate Pizzadoro Colorido,"R$4,28",  x KG
Cebola Roxa,"R$3,56",  x KG
Abobrinha Italiana,"R$4,99",  x KG
Tomate Carmem Graudo Verde,"R$4,74",  x KG
Beterraba,"R$2,66",  x KG
Salsinha Maço,"R$5,45",  x UNID
Nabo,"R$8,90",  x KG
Pepino Comum,"R$2,76",  x KG
Pimentão Amarelo,"R$4,85",  x KG
Vagem Macarrão,"R$10,14",  x KG
Chuchu,"R$2,75",  x KG
Pimentão Vermelho,"R$4,74",  x KG
Pepino Japonês,"R$4,66",  x KG
Berinjela,"R$3,42",  x KG
Alho,"R$16,36",  x KG
Quiabo,"R$4,27",  x UNID
Couve-Flor,"R$5,61",  x UNID
Brocolis Ninja,"R$4,94",  x UNID
Alho Poró,"R$2,38",  x UNID
Brocolis Comum Maço,"R$6,60",  x UNID
Cebolinha Maço,"R$2,31",  x UNID
Hortelã Maço,"R$3,82",  x UNID
Louro Fresco (Maço),"R$4,99",  x UNID
Manjericão Maço,"R$1,97",  x UNID
Rúcula Maço,"R$2,32",  x UNID
Pimenta de Cheiro,"R$20,39",  x KG
Pimenta Habanero,"R$37,89",  x KG
Pimenta Jalapeno,"R$19,21",  x KG
Pimenta Malagueta,"R$70,00",  x KG
Pimenta Cambuci,"R$5,71",  x KG
Pimenta Dedo de Moça,"R$11,00",  x KG
Cará,"R$4,99",  x KG
Inhame,"R$4,99",  x KG
Gengibre,"R$10,70",  x KG
